timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
365573273,1574736287400090,372468114,1266669786,13543,31529,0.157,0.051400293,0.88400006,1.2090001,0.69,1.27,85,7,4.5800004,0.117000006,-4.579,0.287,4.7288313,0,3,1,15
365773366,1574736287600090,372468115,1266669684,13494,31480,0.143,0.04642436,0.88100004,1.207,0.69,1.27,85,7,4.465,0.071,-4.464,0.17500001,4.7285357,0,3,1,15
365968729,1574736287800090,372468116,1266669581,13464,31450,0.14,0.039759472,0.878,1.205,0.69,1.27,85,7,4.577,0.068,-4.576,0.098000005,4.727744,0,3,1,15
366185205,1574736288000090,372468117,1266669477,13422,31407,0.132,0.03808727,0.874,1.202,0.69,1.27,85,7,4.602,0.029000001,-4.602,0.132,4.7227254,0,3,1,15
366374564,1574736288200090,372468118,1266669371,13381,31367,0.13700001,0.04175386,0.87100005,1.199,0.69,1.27,85,7,4.668,0.12200001,-4.6660004,0.246,4.7305403,0,3,1,15
366774557,1574736288600090,372468119,1266669154,13331,31317,0.135,0.032928776,0.86200005,1.19,0.69,1.27,85,7,4.7920003,0.033,-4.7910004,0.047000002,4.717791,0,3,1,15
366978038,1574736288800090,372468118,1266669044,13385,31371,0.11000001,0.02658468,0.85700005,1.1830001,0.69,1.27,85,7,4.8030005,-0.07,-4.8030005,-0.079,4.7047057,0,3,1,15
367165998,1574736289000090,372468117,1266668936,13421,31406,0.124000005,0.032123134,0.851,1.179,0.69,1.27,85,7,4.7720003,-0.069000006,-4.7710004,-0.277,4.701417,0,3,1,15
367369196,1574736289200090,372468116,1266668827,13469,31454,0.124000005,0.032776758,0.84700006,1.1750001,0.69,1.27,85,7,4.821,-0.064,-4.82,-0.223,4.70014,0,3,1,15
367574100,1574736289400090,372468115,1266668718,13508,31494,0.134,0.035689887,0.84400004,1.172,0.69,1.27,85,7,4.8120003,-0.20600002,-4.808,-0.132,4.6845016,0,3,1,15
367777434,1574736289600090,372468113,1266668608,13507,31492,0.12100001,0.031667426,0.84000003,1.169,0.69,1.27,85,7,4.813,-0.086,-4.8120003,-0.057000004,4.690574,0,3,1,15
367974571,1574736289800090,372468111,1266668499,13492,31478,0.132,0.033104006,0.837,1.166,0.69,1.27,85,7,4.84,-0.16100001,-4.8370004,0.105000004,4.6843944,0,3,1,15
368186543,1574736290000090,372468109,1266668389,13478,31464,0.126,0.035285145,0.83300006,1.1630001,0.69,1.27,85,7,4.82,-0.061000004,-4.8190002,0.123,4.692372,0,3,1,15
