timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
446207357,0.13804421,0.30385903,0.482113
446231657,0.1327496,0.30042285,0.48090726
446255512,0.1353969,0.30156824,0.482113
446276447,0.13804421,0.30042285,0.48573023
446303079,0.13672055,0.29927745,0.48693594
446326953,0.14069153,0.29355046,0.4881417
446351538,0.14201517,0.28553268,0.4845245
446376185,0.14598614,0.2878235,0.47608435
446400436,0.14598614,0.29698664,0.4881417
446424436,0.14069153,0.29469585,0.4977875
446448442,0.14863344,0.29927745,0.4929646
446475587,0.14201517,0.29469585,0.4893474
446500482,0.14466248,0.29125968,0.48573023
446524436,0.14863344,0.2866781,0.482113
446548523,0.14863344,0.2878235,0.47970155
446572455,0.15922268,0.29698664,0.4772901
446596438,0.15789902,0.29584125,0.47970155
446620435,0.16054633,0.29698664,0.482113
446642516,0.1526044,0.29355046,0.49175888
446666541,0.15657535,0.29240507,0.48331875
446690837,0.15789902,0.29927745,0.48573023
446714512,0.1473098,0.29355046,0.4772901
446739563,0.15657535,0.2866781,0.4772901
446764476,0.15657535,0.2889689,0.47126144
446791909,0.15525171,0.29240507,0.47608435
446815318,0.1473098,0.29125968,0.4784958
446840325,0.14863344,0.29927745,0.48331875
446864447,0.14863344,0.29584125,0.4845245
446887015,0.14466248,0.29584125,0.47608435
446911653,0.15392806,0.29698664,0.48693594
446935019,0.15392806,0.30271363,0.4784958
446959511,0.15128075,0.29584125,0.4748786
446983514,0.15392806,0.30042285,0.47970155
447007618,0.14598614,0.29469585,0.4784958
447031746,0.15657535,0.29584125,0.47126144
447055156,0.15922268,0.29584125,0.4748786
447078944,0.14995709,0.29927745,0.482113
447100436,0.14069153,0.30042285,0.4881417
447124482,0.14995709,0.30271363,0.47126144
447148437,0.14598614,0.31073144,0.4748786
447172487,0.15392806,0.30385903,0.4772901
447199105,0.16054633,0.31416762,0.47246715
447222980,0.15392806,0.30385903,0.482113
447244440,0.1473098,0.30500442,0.47608435
447271373,0.14333883,0.31416762,0.4784958
447296487,0.14333883,0.3176038,0.4784958
447319437,0.14995709,0.3198946,0.4736729
447343383,0.14069153,0.3072952,0.46884996
447367182,0.13804421,0.31187683,0.4772901
447391558,0.14598614,0.31416762,0.4700557
447415162,0.14201517,0.30958605,0.4652328
447436470,0.14995709,0.3221854,0.46764424
447463209,0.16054633,0.3233308,0.46402705
447487175,0.14333883,0.3233308,0.4616156
447511660,0.12745498,0.315313,0.4700557
447535393,0.13936786,0.3221854,0.47126144
447559124,0.1327496,0.32676697,0.47608435
447584445,0.13010229,0.3187492,0.4700557
447611369,0.1473098,0.3221854,0.4736729
447634530,0.13804421,0.31073144,0.46764424
447659508,0.14863344,0.32104,0.46884996
447683439,0.13804421,0.3176038,0.4772901
447706564,0.1327496,0.3221854,0.48331875
447731139,0.1327496,0.3164584,0.4700557
447755388,0.13142595,0.3221854,0.46402705
447779990,0.12877864,0.3233308,0.4700557
447803111,0.13804421,0.32562158,0.4579984
447827196,0.14069153,0.3187492,0.46884996
447848441,0.13672055,0.3164584,0.4579984
447872335,0.14333883,0.3187492,0.45920414
447895696,0.13142595,0.3072952,0.4652328
447919618,0.13407324,0.3176038,0.4748786
447943511,0.1353969,0.3233308,0.4784958
447967549,0.1353969,0.32562158,0.4772901
447992146,0.12745498,0.31073144,0.4784958
448015759,0.14069153,0.3187492,0.45920414
